0000000101.png
2	61
31
1.722	6.145	-2.0124	-0.0207268	0	1.30274e-19	
6.145	10.568	-2.10408	-0.0207268	-4.60963e-18	6.67908e-06	
10.568	14.991	-2.19518	-0.0203348	8.86247e-05	-1.48348e-06	
14.991	19.414	-2.28351	-0.0196379	6.89404e-05	-5.1956e-06	
19.414	23.837	-2.36947	-0.019333	8.06685e-18	-1.43302e-18	
1.722	6.145	-1.71975	0.00789007	0	0	
6.145	10.568	-1.68485	0.00789007	2.0524e-18	4.11677e-08	
10.568	14.991	-1.64995	0.00789248	5.46254e-07	-1.73598e-07	
14.991	19.414	-1.61505	0.00788713	-1.75722e-06	1.3243e-07	
19.414	23.837	-1.58018	0.00787935	-7.86755e-18	1.16008e-18	

31
2.546	6.605	2.43505	0.0157705	1.76255e-18	-5.42792e-19	
6.605	10.664	2.49907	0.0157705	6.60957e-18	1.62067e-07	
10.664	14.723	2.56309	0.0157786	1.97349e-06	-1.4027e-07	
14.723	18.782	2.62716	0.0157876	2.65418e-07	-2.17967e-08	
18.782	22.841	2.69124	0.0157887	6.16893e-18	-8.68466e-19	
2.546	6.605	-1.73722	0.00413865	1.02738e-18	-2.02489e-19	
6.605	10.664	-1.72042	0.00413865	2.87666e-18	-5.5982e-08	
10.664	14.723	-1.70362	0.00413588	-6.81693e-07	2.90711e-07	
14.723	18.782	-1.68683	0.00414472	2.8583e-06	-2.34729e-07	
18.782	22.841	-1.66997	0.00415632	-3.28761e-18	5.06222e-19	

